-1 10 279 1542 36 3 43 1129 202 94 149 2084 28 646 54 737 147 300 151 605 16 1420 214 1142
-2 10 113 3 226 2376 155 2443 142 73 23 70 194 1367 129 1649 118 1826 50 1214 153 223 101 1357
-3 10 1241 3850 200 1755 127 741 173 80 165 2339 130 834 33 75 213 1676 43 1428 137 875 48 1503
-4 10 844 12811 160 1975 42 2341 15 2081 208 174 89 733 164 1851 41 2193 133 586 50 1686 86 744
-5 10 891 18854 138 2358 158 2384 239 533 147 2155 134 2081 50 538 238 1067 148 167 87 178 68 1623
-6 10 740 725 177 1751 62 215 241 1193 152 1857 114 1954 188 1727 77 1769 204 115 112 1858 38 345
-7 10 809 12650 174 1950 117 2167 181 1346 83 495 155 875 227 789 44 1920 27 824 35 1178 143 761
-8 10 626 20408 205 1850 26 2373 167 118 81 2453 95 1988 55 250 161 979 66 2331 126 782 232 2316
-9 10 185 1155 110 1680 160 2359 242 518 51 1437 201 1923 194 1826 17 2098 57 1543 121 254 194 1931
-10 10 942 5044 222 1931 227 240 217 1597 103 1382 46 650 103 401 157 405 189 670 96 2217 198 1990
-11 10 416 2164 17 247 119 469 226 1394 196 1585 173 1188 218 997 193 329 184 1925 147 157 96 2370
-12 10 212 4215 32 1593 114 659 199 707 109 1688 11 2224 162 1320 230 580 159 1615 220 810 14 1649
-13 10 605 10187 144 1441 203 1643 61 857 29 1496 126 2157 245 1877 161 2132 147 771 175 2064 118 937
-14 10 910 2694 86 701 213 418 145 2332 49 2474 177 662 130 994 126 2425 245 1143 248 462 228 2187
-15 10 184 7556 106 461 58 564 75 1158 56 1084 236 545 195 1019 62 2356 19 2271 80 1657 230 2147
-16 10 87 1560 20 751 97 1751 25 458 178 1277 71 2062 95 1577 135 2102 115 2312 89 25 17 2017
-17 10 731 1419 140 829 91 1333 56 1120 158 393 74 1321 51 2453 72 1125 198 209 31 1961 42 1225
-18 10 556 8400 206 176 120 129 203 2053 101 1168 114 2143 212 295 248 1776 101 2033 154 1110 64 592
-19 10 435 13281 75 1014 61 2317 223 2367 168 1245 78 432 16 562 96 375 30 1271 202 2173 82 1244
-20 10 1224 9570 198 1100 176 2003 97 1796 22 685 30 1107 248 750 144 274 66 1510 101 585 220 943
-21 10 127 1334 97 2403 156 1153 125 105 165 18 232 606 68 823 87 1692 228 738 65 2483 85 792
-22 10 270 16914 1 2362 142 1605 80 2331 43 355 71 1450 230 2128 14 721 205 231 15 84 64 2438
-23 10 315 20439 98 1496 4 690 48 1864 201 2238 250 810 2 1968 108 2244 95 650 53 1580 25 2408
-24 10 708 13924 165 17 83 1071 194 789 81 2453 214 1 52 2320 135 1222 18 373 134 1764 196 2097
-25 10 1013 19569 87 166 241 1505 30 1933 140 377 158 2239 219 1180 97 694 209 1179 126 553 81 1912
-26 10 1036 12116 49 351 162 2166 244 1480 221 436 148 1119 38 2209 164 2260 119 754 239 939 250 1487
-27 10 101 296 121 1645 21 1682 192 1475 41 2391 47 569 63 1310 43 1235 241 1183 39 1050 42 1100
-28 10 72 396 127 1485 73 525 97 2279 108 1051 192 299 204 904 195 2301 175 1582 224 1998 43 2245
-29 10 979 816 213 1971 104 1018 25 939 174 1097 225 1808 99 375 184 2065 134 2192 41 2396 29 2259
-30 10 1009 20799 1 1876 200 1040 217 2330 19 2287 80 594 178 138 104 2348 234 2100 149 97 50 834
-31 10 1047 12340 79 1719 217 26 215 9 94 582 75 741 41 1946 50 2257 197 420 50 1641 113 1955
-32 10 133 5564 42 985 59 1027 23 1029 75 147 198 1021 104 2388 48 1410 4 1994 245 700 189 351
-33 10 1217 17177 108 682 157 2172 199 2273 129 1162 188 746 185 894 136 2417 88 1532 9 1149 216 789
-34 10 1028 8294 144 91 34 1414 234 1001 215 2176 172 1154 224 1541 51 455 113 48 179 1316 158 1234
-35 10 687 12404 113 227 155 1305 103 682 232 1324 30 1920 61 83 181 261 132 468 195 1419 11 2442
-36 10 158 1273 128 2270 239 352 156 359 127 911 128 2328 80 186 149 439 33 1872 89 710 54 1314
-37 10 726 10116 10 2171 118 2122 166 2313 205 1141 185 2083 229 354 196 1735 127 652 58 799 115 767
-38 10 300 7918 221 2260 9 1317 229 908 58 161 190 1424 237 2030 180 589 66 1090 33 1662 93 2264
-39 10 1045 1304 140 141 96 10 118 107 219 939 91 1265 117 1515 108 462 193 1255 67 48 40 1646
-40 10 500 4424 213 166 62 291 210 2432 66 1047 217 2039 237 1429 225 1529 31 307 116 613 135 1211
-41 10 207 5589 15 1683 78 414 70 1424 249 1718 60 392 219 1856 248 1638 238 1498 20 1630 133 1733
-42 10 619 1139 107 1235 184 179 212 647 179 2288 203 2204 93 733 242 571 242 1325 225 1487 116 201
-43 10 529 15560 163 1718 20 1689 14 1593 1 806 108 1377 6 638 130 1892 90 49 194 47 205 1733
-44 10 774 14708 177 1600 242 16 164 2424 63 295 67 1518 24 1884 248 205 92 1433 248 937 235 1620
-45 10 481 10050 3 1289 25 2247 72 1837 115 2313 19 80 155 1210 236 701 184 2173 179 1222 191 60
-46 10 865 7701 181 1467 75 1019 145 2229 192 334 133 786 179 2447 33 1940 28 1575 156 965 158 2326
-47 10 864 16241 186 334 118 2186 227 1311 31 1237 82 1928 33 2036 244 1342 124 337 102 1486 10 248
-48 10 247 475 78 1981 30 2145 60 976 133 799 231 2069 189 1704 138 1063 234 741 42 2413 100 921
-49 10 160 6007 250 34 96 2097 113 821 120 1402 136 2421 135 1378 72 350 5 1349 217 1979 61 2480
-50 10 787 31414 76 1119 217 2429 29 2091 21 1163 161 840 21 2050 128 2271 98 2333 39 2497 207 1959
-51 10 192 4549 221 2445 113 910 93 221 216 1905 31 1116 98 38 200 545 10 2354 192 2176 42 639
-52 10 1117 8029 233 1141 6 1336 125 1682 189 43 99 721 159 966 180 1148 87 995 54 2142 4 1913
-53 10 307 2119 103 1141 225 2477 145 1183 45 1960 179 2310 36 2273 41 1642 209 157 212 843 223 1685
-54 10 70 207 105 731 39 1239 50 1259 198 1800 82 747 165 1593 23 2248 21 873 86 1014 110 1075
-55 10 431 17416 177 2128 33 1695 238 140 14 2285 117 1843 50 2271 121 293 237 1325 218 195 232 1635
-56 10 965 15370 229 2237 28 2098 96 1005 210 2124 167 1135 35 1268 209 2299 242 312 89 433 130 16
-57 10 408 2939 145 253 56 1840 76 2158 21 2391 134 345 229 1758 113 861 40 554 121 1063 19 372
-58 10 1173 16826 114 2301 32 1256 84 1928 137 893 131 1509 144 745 135 1737 79 1764 157 2370 248 974
-59 10 732 11801 27 2139 115 1819 68 1255 122 1204 127 913 197 185 244 291 170 1606 46 1838 201 1249
-60 10 1196 7449 146 953 90 1173 160 1190 242 750 106 1492 188 469 6 1749 84 2365 154 285 248 972
-61 10 0 0 36 683 214 563 29 289 181 275 202 1614 207 928 249 1097 169 1289 141 1885 152 77
-62 10 285 7905 40 1481 9 1387 198 2065 165 1736 87 804 145 1491 250 1916 2 954 232 1878 146 1950
-63 10 695 22770 13 1002 3 1589 39 1762 230 629 196 1554 224 1345 55 609 159 2298 147 1224 7 1611
-64 10 948 11382 47 2278 31 448 189 1080 12 756 137 2439 168 239 129 248 245 992 42 225 210 680
-65 10 1229 18582 62 656 50 1898 183 1762 202 1871 156 453 45 635 93 1208 242 979 249 2494 117 786
-66 10 533 2919 148 1394 56 274 39 470 10 1702 224 1290 13 879 182 2265 87 1356 172 1180 180 2125
-67 10 397 13424 119 1287 21 490 190 1508 238 1823 79 132 193 2200 79 986 20 1275 135 1984 2 1148
-68 10 80 308 150 914 167 863 209 1065 32 641 248 1417 181 1156 45 1989 178 210 53 614 245 1688
-69 10 48 5772 47 1330 61 1594 32 983 130 2058 91 1434 10 1367 1 1118 161 648 147 763 62 1999
-70 10 551 14146 189 1782 139 813 170 1978 245 2422 41 2294 229 364 90 1167 53 518 70 1841 244 53
-71 10 759 1346 168 1446 237 944 93 1138 47 1117 20 492 116 1589 236 2056 55 1760 75 331 132 1570
-72 10 800 7282 186 921 60 266 64 1369 185 40 151 1634 14 1225 62 960 58 2184 165 1756 124 423
-73 10 398 5864 47 2264 117 2363 233 2104 142 1330 220 1514 5 757 43 2252 249 1998 41 1040 26 23
-74 10 743 10888 244 436 244 2395 154 388 241 1756 123 2029 93 172 235 39 158 1871 138 579 135 2031
-75 10 632 18150 14 2114 161 2191 103 2001 82 1561 241 874 11 368 69 2399 181 1578 68 1606 229 1066
-76 10 160 798 238 914 10 146 103 1948 131 999 76 729 64 293 177 450 92 2170 9 101 124 512
-77 10 881 20976 149 2122 61 2179 220 1163 173 916 57 2348 98 1048 230 1276 136 1249 198 2099 10 456
-78 10 579 11026 100 1216 185 211 50 1029 85 2209 87 687 234 2293 1 1381 121 820 13 1597 182 55
-79 10 177 1986 203 376 102 1381 114 532 33 481 13 650 81 1688 45 1422 130 1538 229 2455 222 934
-80 10 728 5246 158 1720 55 2001 109 2458 35 1999 95 1085 160 344 125 1776 84 1559 158 1832 35 526
-81 10 891 17425 191 2454 115 2015 15 2009 181 1653 64 1625 58 626 104 21 140 995 78 37 67 1545
-82 10 404 4975 238 2033 51 1590 172 759 26 2215 245 936 97 1400 171 536 51 573 143 1511 232 1363
-83 10 1021 6244 107 384 236 1862 250 1156 241 1937 5 921 217 1016 13 1226 189 946 146 2060 3 954
-84 10 326 12056 12 1181 8 289 101 1250 146 2283 186 1194 113 1853 53 873 128 2336 86 1551 45 1118
-85 10 713 16808 204 2266 141 2352 79 2102 55 1747 193 1757 8 2245 99 1898 154 2135 21 1343 123 1490
-86 10 1339 14911 33 502 100 449 210 1024 97 1173 245 154 192 377 18 1792 135 631 231 1128 193 830
-87 10 710 13610 235 534 6 2000 64 353 250 1761 193 2187 207 396 92 496 11 2156 41 1075 83 1161
-88 10 854 18319 152 12 213 2007 232 1499 162 122 13 1066 221 1906 48 2121 107 1007 92 825 68 16
-89 10 259 10456 12 852 18 1464 206 1512 163 786 129 849 73 803 159 2040 3 1118 99 1186 200 1348
-90 10 95 841 148 1507 94 701 65 698 100 2244 31 55 95 1976 127 1522 160 1083 124 2265 39 924
-91 10 1030 10948 198 1781 66 1945 207 99 82 1107 155 844 82 248 243 1048 206 1657 93 163 139 1537
-92 10 842 25771 182 2259 31 1867 207 967 67 2161 116 154 241 2112 2 698 141 2259 126 1277 25 2317
-93 10 305 5068 80 113 24 2476 109 521 160 282 224 1441 68 126 154 398 145 1742 243 485 210 1393
-94 10 1161 14387 211 478 182 25 87 1664 157 398 38 2471 163 1900 94 321 241 733 176 460 27 540
-95 10 674 4154 166 1913 24 2395 86 1351 3 1183 218 1266 224 1493 131 465 92 1948 21 202 114 804
