-1 4 46 324 36 3 43 1129 202 94 149 2084
-2 4 131 7 65 540 74 1463 30 1503 61 151
-3 4 22 0 214 1142 68 2253 238 1541 245 1413
-4 4 92 63 23 70 194 1367 129 1649 118 1826
-5 4 243 4457 122 1525 23 1003 136 221 200 1755
-6 4 11 122 75 1725 8 1641 234 1299 84 324
-7 4 431 5477 213 1676 43 1428 137 875 48 1503
-8 4 150 7371 160 1975 42 2341 15 2081 208 174
-9 4 364 749 74 1635 186 405 220 1324 59 492
-10 4 165 384 86 744 214 1373 236 1571 239 2388
-11 4 337 2061 147 2155 134 2081 50 538 238 1067
-12 4 93 906 17 863 18 675 163 1584 177 1751
-13 4 362 6784 22 2405 120 1516 186 1135 196 1877
-14 4 234 950 77 1769 204 115 112 1858 38 345
-15 4 344 4950 174 1950 117 2167 181 1346 83 495
-16 4 208 1305 88 2261 79 437 192 269 83 342
-17 4 34 0 143 761 171 2045 185 253 238 1665
-18 4 102 2786 81 2453 95 1988 55 250 161 979
-19 4 418 6844 234 1256 79 2319 232 1290 110 1680
-20 4 457 4492 236 2414 52 504 144 2001 193 1935
-21 4 53 1127 17 2098 57 1543 121 254 194 1931
-22 4 141 2491 222 1931 227 240 217 1597 103 1382
-23 4 190 8524 65 1030 41 1570 41 1885 67 953
-24 4 235 4450 198 1990 152 161 25 1190 47 2260
-25 4 572 6061 196 1585 173 1188 218 997 193 329
-26 4 217 2883 193 1465 16 958 237 663 32 1593
-27 4 279 178 66 1990 71 1086 169 108 223 1612
-28 4 106 291 230 580 159 1615 220 810 14 1649
-29 4 219 163 144 1441 203 1643 61 857 29 1496
-30 4 575 8994 216 2450 188 1603 214 1465 78 1745
-31 4 317 4927 118 937 108 852 71 2123 42 1446
-32 4 473 6052 49 2474 177 662 130 994 126 2425
-33 4 113 3003 115 2480 47 2277 219 1382 106 461
-34 4 137 2524 57 748 116 556 109 2359 55 1941
-35 4 64 3441 62 2356 19 2271 80 1657 230 2147
-36 4 89 483 20 751 97 1751 25 458 178 1277
-37 4 8 0 207 946 158 1347 211 1148 232 884
-38 4 116 4163 17 2017 26 1397 83 901 134 557
-39 4 280 871 158 393 74 1321 51 2453 72 1125
-40 4 262 1852 21 309 197 417 123 2001 206 176
-41 4 65 2196 13 2024 206 1004 117 1134 215 2111
-42 4 207 463 248 1776 101 2033 154 1110 64 592
-43 4 164 5328 75 1014 61 2317 223 2367 168 1245
-44 4 232 4591 44 155 57 959 38 297 128 2015
-45 4 359 5022 82 1244 106 1971 110 1751 201 961
-46 4 116 1061 22 685 30 1107 248 750 144 274
-47 4 250 6556 151 1002 59 2197 95 2350 97 2403
-48 4 62 250 116 1249 11 1646 2 2320 61 671
-49 4 45 0 87 1692 228 738 65 2483 85 792
-50 4 75 5083 1 2362 142 1605 80 2331 43 355
-51 4 15 0 145 2295 213 135 73 2041 24 145
-52 4 270 2596 64 2438 79 979 150 37 69 478
-53 4 212 1090 201 2238 250 810 2 1968 108 2244
-54 4 209 31 65 523 158 244 241 890 165 17
-55 4 403 7817 108 1934 79 809 246 2137 1 517
-56 4 269 4004 135 1222 18 373 134 1764 196 2097
