1 4 123 36 574 1 253 43 636 113 1266
2 4 242 10 334 149 1588 209 2126 28 495
3 4 192 54 736 74 913 147 1567 30 520
4 4 269 61 795 16 386 142 1528 214 2176
5 4 446 68 855 226 2278 238 2389 155 1637
6 4 115 142 1522 8 316 23 449 7 313
7 4 349 137 1480 129 1406 165 1734 118 1307
8 4 215 50 700 122 1342 153 1622 23 451
9 4 334 136 1471 23 449 200 2050 176 1830
10 4 272 75 917 173 1802 8 322 165 1727
11 4 164 130 1419 84 1000 33 542 8 317
12 4 303 168 1759 43 631 143 1535 137 1483
13 4 386 48 675 151 1603 245 2449 160 1690
14 4 321 42 624 235 2357 15 382 209 2123
15 4 220 18 406 89 1045 74 910 164 1722
16 4 275 41 615 220 2223 133 1442 59 777
17 4 341 169 1767 86 1018 75 920 214 2172
18 4 532 236 2372 158 1664 239 2396 239 2399
19 4 430 147 1572 216 2190 134 1454 209 2123
20 4 329 54 735 238 2389 107 1211 148 1581
21 4 212 87 1026 18 411 68 857 163 1711
22 4 284 177 1843 176 1826 62 808 22 444
23 4 365 120 1324 152 1615 186 1921 114 1271
24 4 394 188 1939 173 1805 77 940 177 1842
25 4 210 12 354 112 1257 186 1922 38 592
26 4 400 136 1470 174 1808 195 2005 117 1298
27 4 283 181 1875 135 1462 83 997 50 695
28 4 279 88 1038 227 2285 79 960 44 643
29 4 164 27 492 83 991 35 558 118 1310
30 4 385 77 935 171 1784 205 2091 185 1915
31 4 323 238 2386 167 1748 12 356 81 974
32 4 236 95 1103 199 2039 55 743 25 475
33 4 322 98 1131 66 836 234 2348 126 1381
34 4 445 232 2337 232 2334 129 1411 110 1233
35 4 421 160 1685 236 2373 242 2423 52 717
36 4 466 144 1544 201 2051 193 1981 194 1992
37 4 274 17 403 210 2138 57 762 155 1639
38 4 289 26 479 194 1996 194 1988 35 559
39 4 418 194 1988 227 2287 24 466 217 2199
40 4 218 103 1170 139 1494 46 664 65 835
41 4 262 41 611 157 1663 41 614 189 1947
42 4 450 96 1108 222 2245 198 2029 199 2041
43 4 134 17 395 25 473 119 1321 47 673
44 4 416 140 1504 196 2013 159 1676 173 1807
45 4 346 218 2210 100 1148 193 1980 33 546
46 4 292 193 1982 147 1568 16 391 96 1112
47 4 228 67 847 32 530 160 1684 114 1271
48 4 329 199 2041 71 887 109 1227 169 1770
49 4 456 223 2252 162 1701 132 1438 230 2317
50 4 374 159 1678 162 1703 220 2223 81 979
51 4 319 165 1734 43 633 144 1544 145 1547
52 4 214 165 1729 61 795 86 1021 29 507
53 4 490 126 1378 216 2191 245 2455 188 1939
54 4 394 214 2169 147 1568 78 944 175 1820
55 4 248 118 1310 94 1093 108 1217 86 1017
56 4 386 213 2161 42 626 145 1552 234 2349
57 4 385 248 2477 177 1835 67 846 130 1414
58 4 473 126 1382 243 2433 245 2454 115 1278
59 4 392 47 666 228 2300 219 2218 139 1494
60 4 148 47 665 58 772 57 758 75 923
61 4 291 56 751 109 1226 236 2373 55 740
62 4 270 102 1167 62 800 236 2370 19 417
63 4 419 80 966 166 1742 230 2313 215 2182
64 4 222 20 430 76 926 97 1120 176 1826
65 4 271 46 662 178 1847 128 1399 71 881
66 4 373 95 1101 158 1670 135 1463 211 2142
67 4 218 232 2331 89 1046 3 273 17 401
68 4 213 26 483 140 1508 83 996 91 1061
69 4 224 56 751 112 1258 158 1669 40 604
70 4 312 133 1439 51 706 246 2457 72 897
71 4 271 198 2025 21 438 31 528 197 2015
72 4 341 123 1352 201 2051 206 2101 18 408
73 4 325 13 366 203 2072 206 2098 101 1153
