1 15 878 36 3 43 1129 202 94 149 2084 28 646 54 737 147 300 151 605 16 1420 214 1142 68 2253 238 1541 245 1413 8 221 7 1939
2 15 937 129 1649 118 1826 50 1214 153 223 101 1357 23 2000 176 1265 75 1725 8 1641 234 1299 84 324 8 2130 168 424 143 1370 88 472
3 15 1267 245 1599 198 415 235 147 209 2072 18 883 74 1635 186 405 220 1324 59 492 169 854 75 2135 138 2358 158 2384 239 533 147 2155
4 15 287 209 496 54 2377 107 1479 17 863 18 675 163 1584 177 1751 62 215 241 1193 152 1857 114 1954 188 1727 77 1769 204 115 112 1858
5 15 1793 35 1356 174 1950 117 2167 181 1346 83 495 155 875 227 789 44 1920 27 824 35 1178 143 761 171 2045 185 253 238 1665 12 804
6 15 223 95 1988 55 250 161 979 66 2331 126 782 232 2316 129 1092 168 1595 236 2414 52 504 144 2001 193 1935 183 170 210 569 155 1210
7 15 1365 194 1931 35 2215 194 2263 24 2165 160 1022 139 460 65 1030 41 1570 41 1885 67 953 222 1977 199 1512 17 247 119 469 226 1394
8 15 1643 159 1729 119 2178 100 1922 33 1833 193 1465 16 958 237 663 32 1593 114 659 199 707 109 1688 11 2224 162 1320 230 580 159 1615
9 15 1750 81 140 165 426 144 1441 203 1643 61 857 29 1496 126 2157 245 1877 161 2132 147 771 175 2064 118 937 108 852 71 2123 42 1446
10 15 1875 49 2474 177 662 130 994 126 2425 245 1143 248 462 228 2187 139 1056 47 580 57 748 116 556 109 2359 55 1941 102 611 236 186
11 15 450 80 1657 230 2147 42 200 76 966 176 242 46 1774 128 701 207 946 158 1347 211 1148 232 884 3 168 202 259 140 829 91 1333
12 15 880 112 1577 40 736 133 507 246 719 113 1973 21 309 197 417 123 2001 206 176 120 129 203 2053 101 1168 114 2143 212 295 248 1776
13 15 1299 204 1536 111 640 60 914 75 1014 61 2317 223 2367 168 1245 78 432 16 562 96 375 30 1271 202 2173 82 1244 106 1971 110 1751
14 15 1135 97 1796 22 685 30 1107 248 750 144 274 66 1510 101 585 220 943 235 965 241 1555 116 1249 11 1646 2 2320 61 671 83 869
15 15 27 228 738 65 2483 85 792 25 9 237 1418 161 799 234 425 36 708 145 2295 213 135 73 2041 24 145 9 633 244 783 98 1496
16 15 1199 69 478 187 2001 224 2500 81 13 197 1073 225 946 65 523 158 244 241 890 165 17 83 1071 194 789 81 2453 214 1 52 2320
17 15 297 123 177 38 1331 177 1952 210 1392 87 166 241 1505 30 1933 140 377 158 2239 219 1180 97 694 209 1179 126 553 81 1912 183 483
