119 32 32 181 2249 205 905 115 2032 68 1315 134 1395 201 253 214 171 70 939 111 2269 22 1783 176 1617 125 1587 54 1029 32 2593 230 512 206 467 32 586 168 754 227 1243 153 29 197 790 178 440 20 424 216 1119 200 1420 192 656 138 1228 84 1138 102 2293 167 187 219 1743 75 2115
126 32 96 232 349 105 1767 155 1941 176 2034 118 81 191 54 107 2084 88 1547 71 225 113 1617 197 2468 96 5226 93 1104 202 1282 100 1742 142 1477 231 932 158 157 28 495 170 1352 159 698 179 1677 29 573 125 1060 117 882 77 555 92 530 219 2358 232 2244 53 1229 116 1188 41 2232
185 32 12 1 1338 51 71 120 1026 158 665 56 1532 121 702 195 900 33 2476 171 1249 144 2339 119 886 21 1143 206 2216 104 669 112 476 204 417 88 1844 242 1205 226 1390 48 1379 152 1980 186 1640 169 782 101 803 158 1241 12 16056 224 1543 36 333 40 317 88 2348 22 492 242 687
195 32 40 247 1204 11 1053 72 924 211 1297 98 2103 80 2291 85 1394 40 3829 211 1196 249 1462 234 330 204 315 108 476 60 562 232 616 149 1993 102 1169 71 629 128 891 112 620 106 603 246 1303 127 1465 51 989 83 249 78 1971 56 1610 57 2359 170 2363 102 722 5 1800 141 1325
198 32 78 154 1216 147 99 111 1796 89 523 135 76 149 1881 112 1754 58 419 33 1667 177 773 83 2455 78 3283 57 1309 30 1263 85 691 240 1667 173 2173 134 203 167 490 175 776 142 1187 124 759 57 497 177 1762 40 222 167 1979 167 918 182 1196 50 575 128 1289 185 602 100 1809
293 32 33 113 1778 214 69 122 2498 212 1334 199 1326 189 1175 135 231 217 1871 163 1947 135 1391 78 2303 147 1913 123 1145 218 883 170 136 137 1631 190 1330 226 2350 178 1770 184 521 33 8423 218 1383 190 923 170 1874 121 2278 208 1541 131 2464 131 2499 106 107 60 1443 8 2042 17 391
371 32 70 209 2295 182 1655 228 1363 215 1180 130 1372 125 1072 226 217 132 1204 104 571 84 1054 70 5157 235 1675 17 1341 80 1988 114 2431 93 30 64 1279 232 943 138 664 116 44 84 758 101 958 54 1340 30 744 71 54 22 1621 52 268 178 2200 125 1466 85 1016 216 2095 157 287
427 32 282 216 517 2 814 69 2405 282 8986 234 168 92 356 207 225 42 368 245 150 140 1135 196 409 191 614 13 88 5 1196 57 400 40 773 67 2135 125 2257 250 265 101 1940 137 627 121 2470 139 964 249 2164 101 1518 176 1399 93 1943 102 1185 52 1959 239 153 182 1673 121 184
430 32 232 38 558 143 431 84 673 194 2382 17 301 249 183 208 1516 181 1970 190 2484 232 2312 220 1436 9 845 74 630 43 882 232 5671 5 85 65 938 27 797 29 25 178 870 35 1251 234 1889 35 14 159 66 137 606 111 798 23 464 234 1794 39 375 18 1004 36 880 7 309
507 32 20 119 148 41 31 240 2488 20 2731 241 2061 126 1621 179 2190 148 2492 156 2389 208 932 162 1881 7 956 213 433 177 1891 197 1477 153 219 36 2106 243 989 214 1135 42 1851 40 766 244 43 75 2125 112 231 82 629 190 701 207 1859 152 1085 220 1439 144 1611 139 1933 4 1403
