9 25 99 111 2474 75 1431 28 657 151 1002 99 3781 95 2350 97 2403 156 1153 125 105 165 18 232 606 68 823 87 1692 228 738 65 2483 85 792 25 9 237 1418 161 799 234 425 36 708 145 2295 213 135 73 2041 24 145
26 25 376 129 1403 189 1514 8 1 40 1481 9 1387 198 2065 165 1736 87 804 145 1491 250 1916 2 954 232 1878 146 1950 56 130 101 28 159 386 177 2298 63 1957 376 9757 135 541 61 1583 230 1464 123 61 162 1620 47 2278
45 25 8 237 1320 35 442 140 1288 155 976 138 2379 165 2160 63 1422 5 909 85 935 106 828 156 2146 150 1734 173 315 8 1454 78 374 180 461 85 2210 16 2433 63 2217 24 393 155 361 27 739 62 1283 247 2119 97 503
79 25 193 247 745 19 855 171 1846 13 1718 212 149 216 251 154 251 134 636 75 2190 199 1159 119 1620 205 1114 167 264 159 195 159 2432 57 634 32 192 119 617 227 1560 206 1640 174 897 212 2383 116 2064 178 2017 193 5635
90 25 160 176 623 66 2459 52 1152 24 821 120 336 100 333 94 1459 189 903 197 1613 234 769 216 1701 92 987 242 2427 145 1265 33 187 214 2417 113 1572 29 602 70 13 45 2128 212 653 172 2296 160 5473 73 245 231 1867
91 25 719 236 250 34 238 132 2466 163 1640 10 447 82 891 21 859 101 2290 198 777 245 2315 97 34 120 1015 89 1817 28 201 83 11 43 265 72 1383 98 746 42 1521 193 1672 119 1166 719 13432 74 1703 59 862 30 781
142 25 28 154 1410 50 753 6 480 46 1342 104 2287 222 2363 109 1410 16 376 28 2240 82 2489 39 825 101 2463 84 1871 39 1349 138 2067 165 1819 70 1324 246 1636 58 2085 165 540 240 49 248 1555 32 43 152 2243 223 506
153 25 127 250 389 156 1618 30 356 88 644 47 795 194 1300 33 179 86 1609 36 988 148 1395 209 1956 37 105 134 1097 127 3485 231 796 19 1641 131 2327 109 525 200 1078 168 2478 154 1489 139 363 135 2090 130 1943 242 1099
179 25 28 45 716 49 1132 168 1587 127 1281 54 1184 108 79 192 188 153 2386 191 931 161 2 100 2008 247 2329 81 1926 173 1761 74 1188 112 2290 101 2391 28 10612 189 2036 51 1860 121 1850 105 1428 203 2074 29 1261 5 1895
213 25 174 100 864 125 2317 49 651 124 2203 13 310 43 2285 125 1748 102 1916 227 2104 187 522 215 2083 57 212 245 1646 102 2074 22 147 138 1393 185 2163 196 1730 168 2287 207 599 145 244 174 4514 147 1315 55 1427 121 1673
217 25 127 158 1813 135 56 56 1848 144 598 57 986 213 875 190 1810 90 180 133 733 210 2230 159 509 78 2170 183 1783 178 2269 54 886 78 2161 191 1355 219 998 153 252 48 1392 127 4191 54 1853 78 2427 234 824 143 1353
293 25 36 58 2060 189 1161 214 640 18 563 39 1277 11 2246 98 1095 124 1091 63 524 36 4700 177 2210 83 1154 84 1034 184 741 16 2089 66 1664 121 401 67 650 155 1833 183 840 120 2007 214 836 95 1149 55 2048 158 995
475 25 14 169 1128 247 1362 80 1727 225 2480 52 1382 138 2114 32 1310 228 1426 240 2021 7 937 180 2357 28 701 127 1767 36 2164 81 2356 31 1081 89 1803 159 1176 124 64 96 438 92 158 14 1874 207 1849 7 496 37 765
486 25 109 137 2385 230 1810 171 2073 78 466 200 2466 109 4369 216 1108 39 810 129 474 209 2459 239 2198 137 2450 121 146 204 38 174 2046 117 1591 52 476 121 2305 13 1780 243 2144 33 1323 93 1530 137 411 139 165 126 2490
515 25 118 148 1150 82 306 108 2374 169 1328 224 1372 139 482 54 150 143 80 93 84 118 5080 215 2387 52 122 131 722 205 17 171 2103 41 869 56 555 59 485 137 1538 35 2463 57 2454 29 759 54 1261 122 1572 196 7
543 25 19 201 329 24 185 95 1483 200 874 187 820 118 347 116 726 127 1030 6 1078 121 1712 34 957 229 574 136 441 1 1252 74 489 97 1211 222 1755 187 1306 72 1037 19 3413 240 2058 61 860 122 497 234 1530 216 517
569 25 55 177 2496 174 1769 174 1123 147 1875 104 1887 93 1056 120 1435 117 1432 157 218 107 2274 117 1470 59 261 66 1101 151 964 72 291 169 775 55 5848 209 644 80 81 243 1528 184 2048 210 2219 12 1276 130 2448 174 933
570 25 62 68 1617 20 17 69 1399 219 1783 164 2168 109 1757 36 1069 250 1680 219 2111 62 2639 182 2271 96 426 72 160 243 528 95 1154 24 786 167 262 142 1716 127 417 47 2001 95 111 170 2137 193 1492 102 2014 174 1955
633 25 20 203 519 184 597 203 1142 45 2286 119 2293 33 702 176 2386 237 974 166 137 5 1383 185 2170 231 648 71 241 20 4605 23 197 220 1157 24 917 212 983 190 2116 8 1842 143 163 177 1293 83 290 51 1403 36 2038
634 25 149 87 1871 83 1172 42 2280 147 1927 94 2215 102 1080 13 1649 163 1311 163 418 222 2485 114 1462 149 8088 202 1373 108 743 92 410 122 2309 53 1139 139 2495 197 506 184 542 49 1160 148 815 88 918 36 2152 202 476
654 25 41 80 1353 45 1064 114 586 109 422 99 1174 196 460 211 1225 41 16350 100 935 164 871 56 1231 62 1223 6 114 44 1931 155 1031 50 2395 130 956 74 91 75 1143 111 2392 232 2177 7 130 114 2336 5 1994 214 1336
660 25 132 132 3754 127 1867 12 599 88 1984 241 1086 84 2029 170 1649 148 1532 27 768 169 1249 23 1582 245 2093 91 1780 169 1878 37 768 116 2421 171 1457 197 1522 143 1081 246 1322 171 784 222 4 104 2057 137 4 174 1156
680 25 73 122 1610 166 568 172 572 73 2357 190 301 51 243 116 2106 98 779 199 1734 168 824 125 1138 222 1722 52 183 121 440 242 1790 86 1329 69 2228 194 1042 203 28 215 1872 113 2077 117 1527 198 1505 209 526 217 429
706 25 65 28 837 61 739 113 492 5 837 166 171 222 274 230 1010 65 4789 175 11 232 365 98 531 170 1499 70 607 145 2242 75 372 87 737 108 1637 163 449 91 808 234 2151 165 187 234 1527 28 2063 67 1551 108 1774
