2 10 113 226 2376 113 2743 142 73 23 70 194 1367 129 1649 118 1826 50 1214 153 223 101 1357
16 10 87 20 751 97 1751 25 458 178 1277 87 3266 95 1577 135 2102 115 2312 89 25 17 2017
21 10 127 127 4851 156 1153 125 105 165 18 232 606 68 823 87 1692 228 738 65 2483 85 792
27 10 101 121 1645 21 1682 192 1475 41 2391 47 569 63 1310 101 5890 241 1183 39 1050 42 1100
28 10 72 127 1485 73 525 72 3759 108 1051 192 299 204 904 195 2301 175 1582 224 1998 43 2245
36 10 158 128 2270 239 352 156 359 127 911 158 3844 80 186 149 439 33 1872 89 710 54 1314
40 10 500 213 166 62 291 210 2432 66 1047 500 4951 237 1429 225 1529 31 307 116 613 135 1211
49 10 160 250 34 160 6504 113 821 120 1402 136 2421 135 1378 72 350 5 1349 217 1979 61 2480
69 10 48 47 1330 61 1594 32 983 130 2058 91 1434 10 1367 1 1118 161 648 147 763 48 6561
76 10 160 238 914 10 146 160 3773 131 999 76 729 64 293 177 450 92 2170 9 101 124 512
90 10 95 148 1507 94 701 65 698 95 2250 31 55 95 1976 127 1522 160 1083 124 2265 39 924
101 10 343 102 1749 239 1406 119 2082 203 1222 59 839 211 605 343 4877 213 1605 74 195 202 1994
103 10 13 108 1464 145 647 1 2332 246 2221 13 30316 204 1414 192 83 141 2153 91 307 138 2074
107 10 190 236 1196 72 375 33 1493 190 8596 88 141 223 316 10 1690 102 219 183 1363 237 1320
110 10 228 129 2461 212 966 51 8 247 231 28 161 79 445 163 1011 215 821 77 1554 228 4349
114 10 400 91 700 136 2435 179 439 162 1102 400 7161 235 1246 35 209 56 1140 108 856 31 309
115 10 146 249 1555 179 1047 153 727 157 1675 146 2877 63 1878 145 2124 41 808 118 1685 224 1231
122 10 269 237 719 248 2017 59 1111 250 2269 60 1340 269 5065 161 43 20 1661 28 104 240 407
133 10 118 249 2009 225 1198 89 825 118 9086 181 386 178 136 237 1896 208 1956 126 581 26 2002
136 10 98 23 1101 67 529 98 4691 228 2373 17 144 26 2063 219 221 213 1274 238 2301 245 208
138 10 59 135 1301 159 11 180 366 122 856 223 149 191 879 82 1027 99 2049 59 2802 34 1615
141 10 408 106 749 70 1796 408 5982 209 1641 222 386 95 1393 238 1675 146 365 73 405 127 2265
151 10 247 247 4957 132 56 111 2228 197 293 184 843 196 2422 121 696 138 899 178 1309 75 746
173 10 31 192 422 170 119 8 2078 228 2376 64 117 42 15 207 206 116 1049 157 1844 31 8052
179 10 612 108 1101 221 509 241 1025 47 376 612 7933 115 2120 184 1487 118 1683 187 2424 20 1103
181 10 523 3 10 235 996 81 1537 238 2404 212 586 158 1553 48 1667 523 6835 186 2431 37 985
191 10 180 154 251 134 636 75 2190 199 1159 119 1620 205 1114 167 264 159 195 180 5256 57 634
196 10 223 206 296 215 1120 41 1610 192 1546 245 999 182 688 223 5333 155 2086 98 2344 59 575
