20 22 61 150 193 163 1323 174 390 107 1235 184 179 212 647 179 2288 203 2204 93 733 242 571 242 1325 225 1487 116 201 86 1630 172 198 169 140 160 7 81 1078 138 60 61 23619 190 894 5 1936
29 22 34 36 683 214 563 29 289 181 275 202 1614 207 928 249 1097 169 1289 141 1885 152 77 1 391 149 90 139 1974 207 1644 174 863 81 1449 150 2498 192 11 34 2620 188 1457 195 559 13 1002
51 22 6 155 976 138 2379 165 2160 63 1422 5 909 85 935 106 828 156 2146 150 1734 173 315 6 1090 78 374 180 461 85 2210 16 2433 63 2217 24 393 155 361 27 739 62 1283 247 2119 97 503
60 22 90 145 1362 85 457 73 304 19 383 148 841 26 900 190 306 208 779 90 2995 25 832 109 534 39 764 114 2024 212 1712 210 563 213 1216 206 307 25 1021 109 129 196 1651 158 687 106 1545
156 22 50 54 1292 193 1370 225 457 212 1334 50 11800 167 1360 148 1238 213 325 190 402 142 68 113 1275 37 436 234 563 129 1309 214 806 222 142 99 2455 168 2297 32 267 5 1460 7 1652 96 2206
163 22 173 216 546 113 459 22 871 99 53 85 681 33 1345 173 6849 119 2442 84 910 199 2150 248 106 200 209 146 2128 56 14 45 22 73 1000 55 933 33 1729 145 2001 108 2056 125 637 37 187
164 22 265 211 1599 250 692 70 1200 230 1681 122 230 17 54 93 1867 121 1366 36 2345 175 1298 34 156 30 602 94 1595 222 950 208 212 210 39 45 776 156 224 265 5317 76 1316 248 1970 210 357
167 22 216 20 883 19 972 77 1175 19 392 104 1546 216 1391 116 1899 216 4456 131 2443 39 408 119 1232 94 443 103 904 110 1166 110 467 163 104 59 355 37 521 69 1680 215 2436 144 530 146 943
168 22 299 224 1609 299 6153 33 1521 166 101 145 1331 149 2427 242 1873 20 644 165 1134 202 618 247 1242 24 185 31 173 83 719 232 581 112 2305 216 942 213 1154 18 286 24 621 135 1042 105 1658
182 22 65 197 2468 65 3538 93 1104 202 1282 100 1742 142 1477 231 932 158 157 28 495 170 1352 159 698 179 1677 29 573 125 1060 117 882 77 555 92 530 219 2358 232 2244 53 1229 116 1188 41 2232
193 22 129 26 1711 143 1064 225 516 16 17 65 699 134 765 149 718 245 866 139 439 213 635 230 241 248 2458 167 163 164 2219 151 1370 48 2472 152 1827 20 2380 129 6643 211 2092 171 40 61 1157
202 22 100 62 59 87 578 228 486 194 2374 227 793 226 1708 128 362 47 290 129 1819 1 1559 188 2286 161 805 247 1373 177 652 207 2259 129 129 169 447 72 489 100 155900 159 1263 129 532 119 1077
230 22 119 233 224 77 964 178 2427 28 2053 175 30 11 814 209 1021 50 698 161 2084 227 307 94 1666 48 2042 234 2310 119 5062 213 384 144 540 70 1082 182 1484 130 1014 153 1740 107 171 231 1925
253 22 467 95 1666 36 782 106 674 127 642 162 2125 201 422 467 8189 8 405 233 1861 57 1075 84 247 210 2083 85 1138 223 375 60 1686 116 264 218 1762 212 2198 31 282 103 122 53 172 105 2297
262 22 323 218 2155 153 2422 72 744 148 1362 196 943 212 641 92 410 191 96 121 1065 175 1870 236 1306 32 439 144 739 60 1082 131 90 323 4431 169 2171 161 913 207 1268 202 1552 250 2363 210 1847
286 22 55 83 2455 55 2315 57 1309 30 1263 85 691 240 1667 173 2173 134 203 167 490 175 776 142 1187 124 759 57 497 177 1762 40 222 167 1979 167 918 182 1196 50 575 128 1289 185 602 100 1809
295 22 88 178 706 121 2346 171 1008 154 2390 35 515 43 373 177 1295 70 503 50 227 61 2217 245 1541 88 2122 86 901 134 2073 204 820 42 795 88 3198 207 634 115 669 236 2177 156 971 175 1770
336 22 54 143 533 82 2114 165 107 122 861 173 300 248 1244 200 985 50 1321 230 2488 137 1765 94 1378 145 575 62 1257 54 2674 19 941 49 168 201 958 127 2154 15 1511 203 1203 84 1722 236 599
347 22 135 29 721 48 778 47 713 143 1144 165 246 193 927 161 574 74 1386 117 505 114 2078 44 1677 190 1058 103 292 99 1291 135 3356 233 2187 113 292 221 922 242 950 179 1689 188 452 160 1272
398 22 28 237 2429 6 1563 221 1395 32 214 228 1402 113 2224 168 1549 232 1490 232 1730 57 2492 131 1533 61 885 11 1897 168 896 139 631 73 361 138 1594 46 1992 243 1522 165 1621 28 4828 178 471
424 22 62 250 1056 11 594 145 77 205 165 40 18 223 784 115 701 96 114 67 947 210 2239 98 1756 226 1049 242 2285 35 1480 195 405 200 2033 90 1235 7 498 62 3348 56 2002 14 1625 28 1332
454 22 86 186 2393 241 2462 218 1613 106 242 108 766 28 1395 192 315 181 826 197 1571 177 2038 150 944 100 464 143 1560 148 1292 147 461 86 4284 239 2277 121 2285 245 1830 167 247 200 1076 235 1317
456 22 81 125 673 177 1164 192 1987 175 739 29 1171 45 211 196 2147 190 1835 81 3270 168 532 154 1151 111 462 95 1284 247 1867 158 1342 116 728 69 1372 131 1105 144 1617 228 2121 183 1661 173 1895
508 22 172 62 622 103 1766 172 166 47 377 170 2431 239 1230 142 1420 24 658 109 1050 46 733 249 252 128 57 175 1664 36 991 153 1850 172 1929 25 99 231 1643 55 275 11 782 172 4715 2 2092
523 22 88 183 1904 20 756 25 271 188 2355 132 2070 132 1564 36 2330 42 914 111 2403 61 1413 145 1225 50 1067 81 1294 59 1028 167 2012 150 1623 231 1494 245 1659 186 1150 212 786 17 1090 88 5642
561 22 279 230 628 279 10113 63 2473 118 1206 102 424 107 430 41 608 202 2136 86 533 34 1737 205 743 67 523 225 398 145 1313 231 1053 149 1921 186 1927 9 1696 30 1106 48 1740 224 421 153 1041
575 22 7 50 691 98 2494 91 1445 1 1432 237 1021 213 1274 137 984 47 1610 7 10024 160 1217 37 1305 155 266 44 1294 74 1010 117 245 38 559 113 1425 202 154 210 493 173 695 65 889 3 110
577 22 99 205 1178 49 2082 83 726 132 929 176 2108 122 140 99 4206 72 2161 31 646 222 2137 126 1729 93 169 221 976 135 1120 151 854 126 694 234 1543 207 305 11 1630 112 201 177 1455 146 429
639 22 19 117 1618 216 2284 249 1231 210 529 133 2206 108 1723 196 2102 215 263 188 375 143 971 49 984 31 1383 135 2258 19 1726 17 1545 182 304 33 63 191 1478 118 165 41 157 83 663 78 934
646 22 59 219 1783 164 2168 109 1757 36 1069 250 1680 219 2111 59 2511 182 2271 96 426 72 160 243 528 95 1154 24 786 167 262 142 1716 127 417 47 2001 95 111 170 2137 193 1492 102 2014 174 1955
692 22 238 203 1596 142 96 238 526 54 1893 111 694 194 986 77 1148 66 2389 45 562 205 2175 55 1506 238 6516 196 688 169 2302 82 54 196 1197 86 382 76 1143 223 793 238 50 110 1215 134 1286
720 22 786 140 2242 185 2020 135 1723 214 917 93 277 195 634 158 1839 232 1884 98 2310 210 905 129 1256 165 2408 114 1826 220 1261 165 2208 165 1272 121 2101 182 993 105 1001 102 1120 786 11470 169 1399
737 22 40 228 226 32 2049 191 769 40 3976 12 96 30 1039 17 1690 61 1198 166 157 164 1443 111 1765 5 1240 222 1157 130 267 241 1877 167 447 35 1843 75 970 16 302 33 2266 98 1433 200 624
738 22 44 208 2201 248 2249 186 1035 234 1820 100 669 58 1906 63 858 68 508 235 2393 212 1149 43 199 21 2116 11 1224 175 1947 28 1427 64 360 116 234 51 555 104 1646 110 1281 101 1189 44 4433
748 22 123 88 1984 241 1086 123 3498 170 1649 148 1532 27 768 169 1249 23 1582 245 2093 91 1780 169 1878 37 768 116 2421 171 1457 197 1522 143 1081 246 1322 171 784 222 4 104 2057 137 4 174 1156
837 22 91 232 1775 94 2492 81 211 151 2215 71 2241 209 2248 91 8725 84 1085 82 1191 139 1675 198 1360 25 2397 69 2479 65 1337 217 1624 157 1293 159 824 38 652 176 2325 53 1386 24 2340 196 2484
869 22 291 78 712 129 1893 201 365 125 561 231 281 172 1640 62 2270 246 1160 24 43 55 1599 39 2368 79 26 291 8460 28 758 215 1876 150 1910 130 840 136 636 146 1218 149 812 145 2147 74 2172
894 22 89 246 222 153 1206 111 2400 214 1544 140 1225 89 2958 96 1514 66 1107 129 1414 76 279 55 756 59 1184 247 1495 72 1601 222 249 241 10 12 983 53 1762 224 1037 69 1646 186 403 75 1047
900 22 202 52 215 118 1414 180 1303 180 1550 230 223 176 1877 135 862 112 677 202 3558 209 927 211 177 81 1003 161 1425 156 527 209 641 221 2298 181 639 218 71 237 278 97 1137 66 97 138 2431
907 22 33 204 772 81 2337 238 920 6 771 212 1010 123 2484 93 607 169 593 146 456 56 1868 234 2182 98 247 207 1160 98 593 33 4240 55 1332 211 592 180 756 30 708 205 1440 213 676 175 83
909 22 152 212 1068 93 1807 124 1018 227 2165 217 2095 172 661 167 1663 45 125 235 888 169 389 60 497 137 1551 76 185 226 1412 191 1513 127 348 146 1064 210 477 160 89 101 630 148 160 152 2953
933 22 97 171 873 20 2230 207 2408 232 1543 237 430 97 3372 173 2286 144 2099 30 1043 227 1507 110 2304 99 2357 128 441 131 1359 245 278 241 1900 158 2139 100 136 212 1765 160 470 207 1992 27 201
968 22 75 177 656 126 2215 225 141 120 2119 128 1882 42 585 190 511 121 2132 233 313 130 186 75 1937 49 360 93 817 29 749 127 373 133 1740 80 1945 176 1164 238 2023 232 2219 103 151 12 930
1019 22 25 214 630 83 1072 6 2150 65 426 60 2109 237 710 98 345 120 2072 73 1339 187 1057 177 1942 210 930 25 8958 130 793 219 1937 69 1581 87 2329 69 1591 86 497 185 1554 188 1139 247 2028
1028 22 42 73 100 213 2109 241 35 86 1130 219 246 187 1780 99 948 220 2339 248 809 167 2195 188 531 91 338 229 988 52 1404 42 67536 1 1608 55 310 151 1762 203 1459 109 757 118 2119 39 1211
1052 22 78 21 450 188 22 71 1407 194 478 230 1483 29 2353 244 2280 224 1452 143 816 39 313 199 735 52 404 184 1496 52 1417 216 1260 56 312 32 1796 80 1334 142 1743 63 951 24 590 78 4377
1086 22 122 238 2285 131 1516 7 1454 167 1014 56 219 148 2185 191 2253 227 357 198 2019 201 2246 127 1768 6 261 169 928 122 3599 231 157 91 1725 76 629 58 1711 117 749 100 818 86 189 76 752
1131 22 72 97 1427 96 1286 168 2134 120 583 106 684 72 12294 76 1047 75 440 233 442 40 7 152 1483 4 683 216 1657 15 26 169 43 140 1805 183 138 207 1061 112 2146 246 1198 44 381 141 88
1186 22 90 76 2365 85 496 30 26 142 918 191 1708 64 239 164 2133 220 403 216 446 180 426 25 1966 167 801 236 826 176 2462 48 1059 116 442 22 121 132 373 205 1553 90 7077 19 1769 180 356
1227 22 8 235 712 110 1114 58 975 113 1915 40 1053 171 2296 146 355 115 435 38 599 244 1297 232 1027 148 1666 188 2407 8 1409 128 217 185 1608 138 379 5 881 56 1354 244 2316 88 256 228 1417
1260 22 208 224 866 238 1188 190 683 161 1243 48 1733 109 6 126 1350 156 1410 111 1830 63 2030 220 542 42 729 51 2232 222 2157 129 1442 155 621 212 380 87 1563 142 1526 70 254 208 6702 226 1470
1326 22 256 138 619 203 784 4 1781 57 1744 2 416 135 39 136 1362 201 1595 122 1349 244 1475 87 988 142 1343 56 2243 242 1508 142 616 17 1412 154 982 108 825 187 1490 256 7832 238 1623 143 328
1381 22 80 137 2496 163 1766 70 1440 211 1933 29 742 144 2316 180 2488 122 1556 181 973 146 1771 195 1878 99 1224 200 1433 130 390 243 1579 34 1685 211 2479 123 1719 80 3964 234 1243 33 467 236 1243
1382 22 11 25 82 147 2297 14 379 196 195 136 1236 7 2074 240 2439 234 828 103 356 159 2057 89 713 234 342 81 497 110 1646 9 161 142 1839 150 1056 11 3259 241 1300 75 2055 191 839 229 160
1412 22 66 111 1803 68 460 244 768 66 3960 135 558 106 1223 226 2452 108 2293 222 805 216 960 84 48 30 1800 176 1393 184 724 234 300 202 2058 64 1750 157 549 235 1131 201 1963 93 1512 228 117
1437 22 187 63 1011 113 892 171 1440 162 48 184 2323 30 2131 213 2475 105 1612 124 1547 151 712 85 1657 112 748 38 2191 187 6708 104 2332 117 736 55 1973 110 2402 180 288 192 904 97 627 148 1279
1452 22 102 131 1394 22 1119 13 1323 39 1118 86 1878 104 1451 111 2083 237 2323 138 1183 116 838 102 5188 150 1199 160 754 245 1877 220 1760 113 276 223 1540 131 333 240 1422 80 490 15 2484 201 2401
1459 22 82 208 917 225 1654 88 203 176 314 17 675 115 1093 43 804 247 2179 183 764 118 818 68 796 213 2158 182 314 35 30 164 823 82 4634 109 19 31 1752 97 384 54 2166 137 882 21 1431
