2 10 2743 0 1 0 0 0 0 0 0 0 0 
16 10 3266 0 0 0 0 1 0 0 0 0 0 
21 10 4851 1 0 0 0 0 0 0 0 0 0 
27 10 5890 0 0 0 0 0 0 1 0 0 0 
28 10 3759 0 0 1 0 0 0 0 0 0 0 
36 10 3844 0 0 0 0 1 0 0 0 0 0 
40 10 4997 0 0 1 1 0 0 0 1 0 1 
49 10 6504 0 1 0 0 0 0 0 0 0 0 
69 10 6561 0 0 0 0 0 0 0 0 0 1 
76 10 3773 0 0 1 0 0 0 0 0 0 0 
90 10 2250 0 0 0 1 0 0 0 0 0 0 
101 10 4877 0 0 0 0 0 0 1 0 0 0 
103 10 30316 0 0 0 0 1 0 0 0 0 0 
107 10 8596 0 0 0 1 0 0 0 0 0 0 
110 10 4349 0 0 0 0 0 0 0 0 0 1 
114 10 7161 0 0 0 0 1 0 0 0 0 0 
115 10 2877 0 0 0 0 1 0 0 0 0 0 
122 10 5065 0 0 0 0 0 1 0 0 0 0 
133 10 9086 0 0 0 1 0 0 0 0 0 0 
136 10 4691 0 0 1 0 0 0 0 0 0 0 
138 10 2802 0 0 0 0 0 0 0 0 1 0 
141 10 6203 1 1 0 0 0 1 0 0 0 1 
151 10 4957 1 0 0 0 0 0 0 0 0 0 
173 10 8052 0 0 0 0 0 0 0 0 0 1 
179 10 8807 1 0 0 1 0 1 0 1 1 1 
181 10 8183 1 0 1 0 0 1 1 0 1 1 
191 10 5256 0 0 0 0 0 0 0 0 1 0 
196 10 5333 0 0 0 0 0 0 1 0 0 0 
202 10 3316 0 0 0 0 0 0 0 0 1 0 
204 10 2997 0 0 1 0 0 0 0 0 0 0 
206 10 7348 1 1 0 0 1 1 1 1 0 0 
208 10 4500 1 0 0 0 0 0 0 0 0 0 
218 10 3408 0 0 0 0 0 0 1 0 0 0 
219 10 4694 0 1 0 0 0 0 0 0 0 0 
223 10 11415 0 0 0 0 0 0 0 1 0 0 
234 10 34848 0 0 1 0 0 0 0 0 0 0 
245 10 3436 1 0 0 0 0 0 0 0 0 0 
250 10 4326 0 0 0 0 0 0 0 0 1 0 
251 10 4528 0 0 0 0 0 1 0 0 0 0 
264 10 7528 0 0 1 1 0 1 0 0 1 0 
268 10 3702 0 0 0 0 0 0 0 0 1 0 
271 10 7389 0 0 0 0 0 0 1 0 0 0 
280 10 5812 0 1 0 0 0 0 0 0 0 0 
287 10 2560 1 0 0 0 0 0 0 0 0 0 
293 10 6378 0 1 1 1 0 0 0 1 1 0 
304 10 21241 0 0 0 0 0 0 1 0 0 0 
305 10 8145 0 1 0 0 0 0 0 0 0 0 
317 10 6133 0 0 0 0 0 0 1 0 0 0 
333 10 8878 0 0 0 0 0 0 0 0 1 0 
344 10 6738 0 0 0 0 0 1 0 0 0 0 
346 10 9098 0 0 0 1 0 0 0 0 0 0 
351 10 7983 0 0 0 0 0 0 1 0 0 0 
357 10 7399 0 1 0 0 0 0 0 0 0 0 
359 10 3932 0 0 0 0 0 0 1 0 0 0 
360 10 3105 0 0 0 1 0 0 0 0 0 0 
365 10 3600 0 0 0 0 0 0 0 0 0 1 
377 10 3343 0 1 0 0 0 0 0 0 0 0 
387 10 3652 0 0 0 0 1 0 0 0 0 0 
388 10 5536 0 0 0 0 0 0 0 0 1 0 
402 10 4920 1 0 0 0 0 0 0 0 0 0 
419 10 6391 0 0 0 0 0 0 0 1 0 0 
421 10 3193 0 0 0 0 0 1 0 0 0 0 
427 10 4098 0 0 0 0 0 1 0 0 0 0 
438 10 6533 0 1 0 0 1 1 0 0 0 1 
