-1 4 123 1475 36 574 1 253 43 636 113 1266
-2 4 242 2516 10 334 149 1588 209 2126 28 495
-3 4 192 2111 54 736 74 913 147 1567 30 520
-4 4 269 2698 61 795 16 386 142 1528 214 2176
-5 4 446 4125 68 855 226 2278 238 2389 155 1637
-6 4 115 1037 142 1522 8 316 23 449 7 313
-7 4 349 3238 137 1480 129 1406 165 1734 118 1307
-8 4 215 2559 50 700 122 1342 153 1622 23 451
-9 4 334 3196 136 1471 23 449 200 2050 176 1830
-10 4 272 2982 75 917 173 1802 8 322 165 1727
-11 4 164 1916 130 1419 84 1000 33 542 8 317
-12 4 303 2968 168 1759 43 631 143 1535 137 1483
-13 4 386 3995 48 675 151 1603 245 2449 160 1690
-14 4 321 3260 42 624 235 2357 15 382 209 2123
-15 4 220 2380 18 406 89 1045 74 910 164 1722
-16 4 275 2779 41 615 220 2223 133 1442 59 777
-17 4 341 3573 169 1767 86 1018 75 920 214 2172
-18 4 532 4821 236 2372 158 1664 239 2396 239 2399
-19 4 430 4436 147 1572 216 2190 134 1454 209 2123
-20 4 329 3514 54 735 238 2389 107 1211 148 1581
-21 4 212 2251 87 1026 18 411 68 857 163 1711
-22 4 284 3194 177 1843 176 1826 62 808 22 444
-23 4 365 3663 120 1324 152 1615 186 1921 114 1271
-24 4 394 3816 188 1939 173 1805 77 940 177 1842
-25 4 210 2363 12 354 112 1257 186 1922 38 592
-26 4 400 3832 136 1470 174 1808 195 2005 117 1298
-27 4 283 3034 181 1875 135 1462 83 997 50 695
-28 4 279 2830 88 1038 227 2285 79 960 44 643
-29 4 164 1963 27 492 83 991 35 558 118 1310
-30 4 385 3961 77 935 171 1784 205 2091 185 1915
-31 4 323 3372 238 2386 167 1748 12 356 81 974
-32 4 236 2516 95 1103 199 2039 55 743 25 475
-33 4 322 3390 98 1131 66 836 234 2348 126 1381
-34 4 445 3738 232 2337 232 2334 129 1411 110 1233
-35 4 421 4183 160 1685 236 2373 242 2423 52 717
-36 4 466 3945 144 1544 201 2051 193 1981 194 1992
-37 4 274 2897 17 403 210 2138 57 762 155 1639
-38 4 289 3060 26 479 194 1996 194 1988 35 559
-39 4 418 4048 194 1988 227 2287 24 466 217 2199
-40 4 218 2647 103 1170 139 1494 46 664 65 835
-41 4 262 2897 41 611 157 1663 41 614 189 1947
-42 4 450 4144 96 1108 222 2245 198 2029 199 2041
-43 4 134 1578 17 395 25 473 119 1321 47 673
-44 4 416 3881 140 1504 196 2013 159 1676 173 1807
-45 4 346 3675 218 2210 100 1148 193 1980 33 546
-46 4 292 3043 193 1982 147 1568 16 391 96 1112
-47 4 228 2688 67 847 32 530 160 1684 114 1271
-48 4 329 3145 199 2041 71 887 109 1227 169 1770
-49 4 456 4626 223 2252 162 1701 132 1438 230 2317
-50 4 374 3499 159 1678 162 1703 220 2223 81 979
